date,pm25,pm10,no2,so2,co,o3,month,dayofweek,is_winter,pm25_lag1,pm25_lag7,pm25_lag14,pm25_roll3,pm25_roll7,pm25_roll14,pm25_std7,pm10_roll7,no2_roll7,so2_roll7,co_roll7,o3_roll7,pm25_tomorrow,unsafe_tomorrow,isoforest_flag,ocsvm_flag,is_high_pm25
2016-02-03,218.0,178.0,35.0,11.0,5.0,62.0,2,2,1,198.0,379.0,342.0,226.33333333333334,303.57142857142856,317.42857142857144,75.25259052652127,285.57142857142856,46.714285714285715,10.0,8.857142857142858,51.142857142857146,220.0,1,-1,-1,0
2016-02-04,220.0,177.0,34.0,12.0,10.0,59.0,2,3,1,218.0,344.0,333.0,212.0,285.85714285714283,309.35714285714283,78.66686844203295,253.42857142857142,44.285714285714285,10.0,9.0,52.0,209.0,1,-1,-1,0
2016-02-05,209.0,306.0,44.0,14.0,11.0,69.0,2,4,1,220.0,365.0,249.0,215.66666666666666,263.57142857142856,306.5,74.49576529990826,236.14285714285714,42.42857142857143,10.0,8.714285714285714,54.142857142857146,302.0,1,-1,-1,0
2016-02-06,302.0,446.0,55.0,15.0,15.0,61.0,2,5,1,209.0,365.0,363.0,243.66666666666666,254.57142857142858,302.14285714285717,63.13967886851366,238.0,40.285714285714285,10.0,9.285714285714286,52.714285714285715,304.0,1,-1,-1,1
2016-02-07,304.0,192.0,41.0,10.0,8.0,26.0,2,6,1,302.0,372.0,367.0,271.6666666666667,244.85714285714286,297.64285714285717,44.55868254870413,231.71428571428572,40.285714285714285,11.0,9.142857142857142,54.0,249.0,1,-1,-1,1
2016-02-08,249.0,141.0,31.0,10.0,9.0,37.0,2,0,1,304.0,263.0,360.0,285.0,242.85714285714286,289.7142857142857,43.91821403255746,231.57142857142858,39.714285714285715,11.857142857142858,9.428571428571429,52.57142857142857,204.0,1,-1,-1,0
2016-02-09,204.0,205.0,34.0,9.0,8.0,48.0,2,1,1,249.0,198.0,268.0,252.33333333333334,243.71428571428572,285.14285714285717,42.94459331787992,235.0,39.142857142857146,11.571428571428571,9.428571428571429,51.714285714285715,257.0,1,-1,-1,0
2016-02-10,257.0,338.0,46.0,11.0,12.0,88.0,2,2,1,204.0,218.0,379.0,236.66666666666666,249.28571428571428,276.42857142857144,41.560054081269996,257.85714285714283,40.714285714285715,11.571428571428571,10.428571428571429,55.42857142857143,314.0,1,-1,-1,0
2016-02-11,314.0,198.0,42.0,10.0,9.0,66.0,2,3,1,257.0,220.0,344.0,258.3333333333333,262.7142857142857,274.2857142857143,45.518180564525316,260.85714285714283,41.857142857142854,11.285714285714286,10.285714285714286,56.42857142857143,199.0,1,-1,-1,1
2016-02-12,199.0,301.0,48.0,13.0,11.0,54.0,2,4,1,314.0,209.0,365.0,256.6666666666667,261.2857142857143,262.42857142857144,47.59451749138829,260.14285714285717,42.42857142857143,11.142857142857142,10.285714285714286,54.285714285714285,209.0,1,-1,-1,0
2016-02-13,209.0,196.0,33.0,13.0,8.0,31.0,2,5,1,199.0,302.0,365.0,240.66666666666666,248.0,251.28571428571428,47.3145502638106,224.42857142857142,39.285714285714285,10.857142857142858,9.285714285714286,50.0,182.0,1,-1,-1,0
2016-02-14,182.0,127.0,29.0,13.0,7.0,57.0,2,6,1,209.0,304.0,372.0,196.66666666666666,230.57142857142858,237.71428571428572,45.69046998684815,215.14285714285714,37.57142857142857,11.285714285714286,9.142857142857142,54.42857142857143,182.0,1,-1,-1,0
2016-02-15,182.0,164.0,34.0,15.0,7.0,65.0,2,0,1,182.0,249.0,263.0,191.0,221.0,231.92857142857142,48.13868852942895,218.42857142857142,38.0,12.0,8.857142857142858,58.42857142857143,187.0,1,-1,-1,0
2016-02-16,187.0,185.0,36.0,16.0,8.0,77.0,2,1,1,182.0,204.0,198.0,183.66666666666666,218.57142857142858,231.14285714285714,49.54747603009084,215.57142857142858,38.285714285714285,13.0,8.857142857142858,62.57142857142857,198.0,1,-1,-1,0
2016-02-17,198.0,172.0,38.0,21.0,4.0,72.0,2,2,1,187.0,257.0,218.0,189.0,210.14285714285714,229.71428571428572,46.866578608601785,191.85714285714286,37.142857142857146,14.428571428571429,7.714285714285714,60.285714285714285,196.0,1,-1,-1,0
2016-02-18,196.0,179.0,36.0,13.0,5.0,33.0,2,3,1,198.0,314.0,220.0,193.66666666666666,193.28571428571428,228.0,10.02853072845258,189.14285714285714,36.285714285714285,14.857142857142858,7.142857142857143,55.57142857142857,219.0,1,-1,-1,0
2016-02-19,219.0,306.0,36.0,19.0,10.0,25.0,2,4,1,196.0,199.0,209.0,204.33333333333334,196.14285714285714,228.71428571428572,13.99319562536049,189.85714285714286,34.57142857142857,15.714285714285714,7.0,51.42857142857143,308.0,1,-1,-1,0
2016-02-20,308.0,187.0,30.0,11.0,7.0,25.0,2,5,1,219.0,209.0,302.0,241.0,210.28571428571428,229.14285714285714,44.94705880520054,188.57142857142858,34.142857142857146,15.428571428571429,6.857142857142857,50.57142857142857,228.0,1,-1,-1,1
2016-02-21,228.0,90.0,18.0,3.0,7.0,33.0,2,6,1,308.0,182.0,304.0,251.66666666666666,216.85714285714286,223.71428571428572,43.46043630486896,183.28571428571428,32.57142857142857,14.0,6.857142857142857,47.142857142857146,154.0,1,-1,1,0
2016-02-22,154.0,104.0,25.0,6.0,7.0,48.0,2,0,1,228.0,182.0,249.0,230.0,212.85714285714286,216.92857142857142,48.23010322550546,174.71428571428572,31.285714285714285,12.714285714285714,6.857142857142857,44.714285714285715,162.0,1,1,1,0
2016-02-23,162.0,137.0,30.0,11.0,8.0,48.0,2,1,1,154.0,187.0,204.0,181.33333333333334,209.28571428571428,213.92857142857142,51.292346036273514,167.85714285714286,30.428571428571427,12.0,6.857142857142857,40.57142857142857,140.0,0,-1,1,0
2016-02-24,140.0,392.0,61.0,24.0,14.0,80.0,2,2,1,162.0,198.0,257.0,152.0,201.0,205.57142857142858,57.70326391692885,199.28571428571428,33.714285714285715,12.428571428571429,8.285714285714286,41.714285714285715,296.0,1,-1,-1,0
2016-02-25,296.0,157.0,54.0,13.0,8.0,55.0,2,3,1,140.0,196.0,314.0,199.33333333333334,215.28571428571428,204.28571428571428,67.76113508916066,196.14285714285714,36.285714285714285,12.428571428571429,8.714285714285714,44.857142857142854,188.0,1,-1,-1,0
2016-02-26,188.0,216.0,55.0,16.0,12.0,56.0,2,4,1,296.0,219.0,199.0,208.0,210.85714285714286,203.5,68.4870512613607,183.28571428571428,39.0,12.0,9.0,49.285714285714285,210.0,1,-1,-1,0
2016-02-27,210.0,231.0,54.0,17.0,10.0,56.0,2,5,1,188.0,308.0,209.0,231.33333333333334,196.85714285714286,203.57142857142858,53.750747503108634,189.57142857142858,42.42857142857143,12.857142857142858,9.428571428571429,53.714285714285715,221.0,1,-1,-1,0
2016-02-28,221.0,283.0,49.0,16.0,11.0,35.0,2,6,1,210.0,228.0,182.0,206.33333333333334,195.85714285714286,206.35714285714286,53.13639233591489,217.14285714285714,46.857142857142854,14.714285714285714,10.0,54.0,254.0,1,-1,-1,0
2016-02-29,254.0,348.0,52.0,14.0,11.0,41.0,2,0,1,221.0,154.0,182.0,228.33333333333334,210.14285714285714,211.5,53.44913024371476,252.0,50.714285714285715,15.857142857142858,10.571428571428571,53.0,276.0,1,-1,-1,0
2016-03-01,276.0,331.0,60.0,14.0,13.0,53.0,3,1,0,254.0,162.0,187.0,250.33333333333334,226.42857142857142,217.85714285714286,53.70244297005877,279.7142857142857,55.0,16.285714285714285,11.285714285714286,53.714285714285715,280.0,1,-1,-1,0
2016-03-02,280.0,288.0,55.0,13.0,11.0,55.0,3,2,0,276.0,140.0,198.0,270.0,246.42857142857142,223.71428571428572,40.62781125804156,264.85714285714283,54.142857142857146,14.714285714285714,10.857142857142858,50.142857142857146,253.0,1,-1,-1,0
2016-03-03,253.0,255.0,52.0,17.0,9.0,36.0,3,3,0,280.0,296.0,196.0,269.6666666666667,240.28571428571428,227.78571428571428,34.70213387153744,278.85714285714283,53.857142857142854,15.285714285714286,11.0,47.42857142857143,223.0,1,-1,-1,0
